"Theoretical.MW";"Structure0";"Structure";"unsatUA";"GlcA";"GlcN";"Ac";"SO3";"anhydro";"Adductive";"Man";"dp";"isotopic.peak"
883.18995;"[0,2,2,3,1,1,]-[0]";"[2,2,3,1,1]";0;2;2;3;1;0;0;1;4;1
963.14676;"[0,2,2,3,2,1,]-[0]";"[2,2,3,2,1]";0;2;2;3;2;0;0;1;4;1
1043.10357;"[0,2,2,3,3,1,]-[0]";"[2,2,3,3,1]";0;2;2;3;3;0;0;1;4;1
1123.06038;"[0,2,2,3,4,1,]-[0]";"[2,2,3,4,1]";0;2;2;3;4;0;0;1;4;1
918.22708;"[0,2,3,0,1,1,]-[0]";"[2,3,0,1,1]";0;2;3;0;1;0;0;1;5;1
998.18389;"[0,2,3,0,2,1,]-[0]";"[2,3,0,2,1]";0;2;3;0;2;0;0;1;5;1
1078.1407;"[0,2,3,0,3,1,]-[0]";"[2,3,0,3,1]";0;2;3;0;3;0;0;1;5;1
1158.09751;"[0,2,3,0,4,1,]-[0]";"[2,3,0,4,1]";0;2;3;0;4;0;0;1;5;1
1238.05432;"[0,2,3,0,5,1,]-[0]";"[2,3,0,5,1]";0;2;3;0;5;0;0;1;5;1
1318.01113;"[0,2,3,0,6,1,]-[0]";"[2,3,0,6,1]";0;2;3;0;6;0;0;1;5;1
1397.96794;"[0,2,3,0,7,1,]-[0]";"[2,3,0,7,1]";0;2;3;0;7;0;0;1;5;1
1477.92475;"[0,2,3,0,8,1,]-[0]";"[2,3,0,8,1]";0;2;3;0;8;0;0;1;5;1
1557.88156;"[0,2,3,0,9,1,]-[0]";"[2,3,0,9,1]";0;2;3;0;9;0;0;1;5;1
960.23764;"[0,2,3,1,1,1,]-[0]";"[2,3,1,1,1]";0;2;3;1;1;0;0;1;5;1
1040.19445;"[0,2,3,1,2,1,]-[0]";"[2,3,1,2,1]";0;2;3;1;2;0;0;1;5;1
1120.15126;"[0,2,3,1,3,1,]-[0]";"[2,3,1,3,1]";0;2;3;1;3;0;0;1;5;1
1200.10807;"[0,2,3,1,4,1,]-[0]";"[2,3,1,4,1]";0;2;3;1;4;0;0;1;5;1
1280.06488;"[0,2,3,1,5,1,]-[0]";"[2,3,1,5,1]";0;2;3;1;5;0;0;1;5;1
1360.02169;"[0,2,3,1,6,1,]-[0]";"[2,3,1,6,1]";0;2;3;1;6;0;0;1;5;1
1439.9785;"[0,2,3,1,7,1,]-[0]";"[2,3,1,7,1]";0;2;3;1;7;0;0;1;5;1
1519.93531;"[0,2,3,1,8,1,]-[0]";"[2,3,1,8,1]";0;2;3;1;8;0;0;1;5;1
1002.2482;"[0,2,3,2,1,1,]-[0]";"[2,3,2,1,1]";0;2;3;2;1;0;0;1;5;1
1082.20501;"[0,2,3,2,2,1,]-[0]";"[2,3,2,2,1]";0;2;3;2;2;0;0;1;5;1
1162.16182;"[0,2,3,2,3,1,]-[0]";"[2,3,2,3,1]";0;2;3;2;3;0;0;1;5;1
1242.11863;"[0,2,3,2,4,1,]-[0]";"[2,3,2,4,1]";0;2;3;2;4;0;0;1;5;1
1322.07544;"[0,2,3,2,5,1,]-[0]";"[2,3,2,5,1]";0;2;3;2;5;0;0;1;5;1
1402.03225;"[0,2,3,2,6,1,]-[0]";"[2,3,2,6,1]";0;2;3;2;6;0;0;1;5;1
1481.98906;"[0,2,3,2,7,1,]-[0]";"[2,3,2,7,1]";0;2;3;2;7;0;0;1;5;1
1044.25876;"[0,2,3,3,1,1,]-[0]";"[2,3,3,1,1]";0;2;3;3;1;0;0;1;5;1
1124.21557;"[0,2,3,3,2,1,]-[0]";"[2,3,3,2,1]";0;2;3;3;2;0;0;1;5;1
1204.17238;"[0,2,3,3,3,1,]-[0]";"[2,3,3,3,1]";0;2;3;3;3;0;0;1;5;1
1284.12919;"[0,2,3,3,4,1,]-[0]";"[2,3,3,4,1]";0;2;3;3;4;0;0;1;5;1
1364.086;"[0,2,3,3,5,1,]-[0]";"[2,3,3,5,1]";0;2;3;3;5;0;0;1;5;1
1444.04281;"[0,2,3,3,6,1,]-[0]";"[2,3,3,6,1]";0;2;3;3;6;0;0;1;5;1
1174.21598;"[0,3,3,0,2,1,]-[0]";"[3,3,0,2,1]";0;3;3;0;2;0;0;1;6;1
1254.17279;"[0,3,3,0,3,1,]-[0]";"[3,3,0,3,1]";0;3;3;0;3;0;0;1;6;1
1334.1296;"[0,3,3,0,4,1,]-[0]";"[3,3,0,4,1]";0;3;3;0;4;0;0;1;6;1
1414.08641;"[0,3,3,0,5,1,]-[0]";"[3,3,0,5,1]";0;3;3;0;5;0;0;1;6;1
1494.04322;"[0,3,3,0,6,1,]-[0]";"[3,3,0,6,1]";0;3;3;0;6;0;0;1;6;1
1574.00003;"[0,3,3,0,7,1,]-[0]";"[3,3,0,7,1]";0;3;3;0;7;0;0;1;6;1
1653.95684;"[0,3,3,0,8,1,]-[0]";"[3,3,0,8,1]";0;3;3;0;8;0;0;1;6;1
1733.91365;"[0,3,3,0,9,1,]-[0]";"[3,3,0,9,1]";0;3;3;0;9;0;0;1;6;1
1813.87046;"[0,3,3,0,10,1,]-[0]";"[3,3,0,10,1]";0;3;3;0;10;0;0;1;6;1
1216.22654;"[0,3,3,1,2,1,]-[0]";"[3,3,1,2,1]";0;3;3;1;2;0;0;1;6;1
1296.18335;"[0,3,3,1,3,1,]-[0]";"[3,3,1,3,1]";0;3;3;1;3;0;0;1;6;1
1376.14016;"[0,3,3,1,4,1,]-[0]";"[3,3,1,4,1]";0;3;3;1;4;0;0;1;6;1
1456.09697;"[0,3,3,1,5,1,]-[0]";"[3,3,1,5,1]";0;3;3;1;5;0;0;1;6;1
1536.05378;"[0,3,3,1,6,1,]-[0]";"[3,3,1,6,1]";0;3;3;1;6;0;0;1;6;1
1616.01059;"[0,3,3,1,7,1,]-[0]";"[3,3,1,7,1]";0;3;3;1;7;0;0;1;6;1
1695.9674;"[0,3,3,1,8,1,]-[0]";"[3,3,1,8,1]";0;3;3;1;8;0;0;1;6;1
1775.92421;"[0,3,3,1,9,1,]-[0]";"[3,3,1,9,1]";0;3;3;1;9;0;0;1;6;1
1258.2371;"[0,3,3,2,2,1,]-[0]";"[3,3,2,2,1]";0;3;3;2;2;0;0;1;6;1
1338.19391;"[0,3,3,2,3,1,]-[0]";"[3,3,2,3,1]";0;3;3;2;3;0;0;1;6;1
1418.15072;"[0,3,3,2,4,1,]-[0]";"[3,3,2,4,1]";0;3;3;2;4;0;0;1;6;1
1498.10753;"[0,3,3,2,5,1,]-[0]";"[3,3,2,5,1]";0;3;3;2;5;0;0;1;6;1
1578.06434;"[0,3,3,2,6,1,]-[0]";"[3,3,2,6,1]";0;3;3;2;6;0;0;1;6;1
1658.02115;"[0,3,3,2,7,1,]-[0]";"[3,3,2,7,1]";0;3;3;2;7;0;0;1;6;1
1737.97796;"[0,3,3,2,8,1,]-[0]";"[3,3,2,8,1]";0;3;3;2;8;0;0;1;6;1
1300.24766;"[0,3,3,3,2,1,]-[0]";"[3,3,3,2,1]";0;3;3;3;2;0;0;1;6;1
1380.20447;"[0,3,3,3,3,1,]-[0]";"[3,3,3,3,1]";0;3;3;3;3;0;0;1;6;1
1460.16128;"[0,3,3,3,4,1,]-[0]";"[3,3,3,4,1]";0;3;3;3;4;0;0;1;6;1
