"Theoretical.MW";"Structure0";"Structure";"unsatUA";"GlcA";"GlcN";"Ac";"SO3";"anhydro";"Adductive";"Man";"dp";"isotopic.peak"
678.10954;"[0,1,2,0,2,1,]-[1]";"[1,2,0,2,1]";0;1;2;0;2;0;1;1;3;1
695.13609;"[0,1,2,0,2,1,]-[2]";"[1,2,0,2,1]";0;1;2;0;2;0;2;1;3;1
712.16264;"[0,1,2,0,2,1,]-[3]";"[1,2,0,2,1]";0;1;2;0;2;0;3;1;3;1
741.0398;"[0,1,2,0,3,1,]-[0]";"[1,2,0,3,1]";0;1;2;0;3;0;0;1;3;1
758.06635;"[0,1,2,0,3,1,]-[1]";"[1,2,0,3,1]";0;1;2;0;3;0;1;1;3;1
775.0929;"[0,1,2,0,3,1,]-[2]";"[1,2,0,3,1]";0;1;2;0;3;0;2;1;3;1
792.11945;"[0,1,2,0,3,1,]-[3]";"[1,2,0,3,1]";0;1;2;0;3;0;3;1;3;1
809.146;"[0,1,2,0,3,1,]-[4]";"[1,2,0,3,1]";0;1;2;0;3;0;4;1;3;1
820.99661;"[0,1,2,0,4,1,]-[0]";"[1,2,0,4,1]";0;1;2;0;4;0;0;1;3;1
838.02316;"[0,1,2,0,4,1,]-[1]";"[1,2,0,4,1]";0;1;2;0;4;0;1;1;3;1
855.04971;"[0,1,2,0,4,1,]-[2]";"[1,2,0,4,1]";0;1;2;0;4;0;2;1;3;1
872.07626;"[0,1,2,0,4,1,]-[3]";"[1,2,0,4,1]";0;1;2;0;4;0;3;1;3;1
889.10281;"[0,1,2,0,4,1,]-[4]";"[1,2,0,4,1]";0;1;2;0;4;0;4;1;3;1
906.12936;"[0,1,2,0,4,1,]-[5]";"[1,2,0,4,1]";0;1;2;0;4;0;5;1;3;1
900.95342;"[0,1,2,0,5,1,]-[0]";"[1,2,0,5,1]";0;1;2;0;5;0;0;1;3;1
917.97997;"[0,1,2,0,5,1,]-[1]";"[1,2,0,5,1]";0;1;2;0;5;0;1;1;3;1
935.00652;"[0,1,2,0,5,1,]-[2]";"[1,2,0,5,1]";0;1;2;0;5;0;2;1;3;1
952.03307;"[0,1,2,0,5,1,]-[3]";"[1,2,0,5,1]";0;1;2;0;5;0;3;1;3;1
969.05962;"[0,1,2,0,5,1,]-[4]";"[1,2,0,5,1]";0;1;2;0;5;0;4;1;3;1
986.08617;"[0,1,2,0,5,1,]-[5]";"[1,2,0,5,1]";0;1;2;0;5;0;5;1;3;1
1003.11272;"[0,1,2,0,5,1,]-[6]";"[1,2,0,5,1]";0;1;2;0;5;0;6;1;3;1
980.91023;"[0,1,2,0,6,1,]-[0]";"[1,2,0,6,1]";0;1;2;0;6;0;0;1;3;1
997.93678;"[0,1,2,0,6,1,]-[1]";"[1,2,0,6,1]";0;1;2;0;6;0;1;1;3;1
1014.96333;"[0,1,2,0,6,1,]-[2]";"[1,2,0,6,1]";0;1;2;0;6;0;2;1;3;1
1031.98988;"[0,1,2,0,6,1,]-[3]";"[1,2,0,6,1]";0;1;2;0;6;0;3;1;3;1
