scan_num,scan_time,type,bpi,bpi_mz,tic,num_peaks,num_deisotoped,info
1,0.0075,1,76130,403.16426,5424613,123,12,FTMS - p ESI Full ms [400.00-2000.00]
2,0.0176,1,117112,403.16403,7303582,122,13,FTMS - p ESI Full ms [400.00-2000.00]
3,0.0373,1,122904,403.16405,7530201,125,12,FTMS - p ESI Full ms [400.00-2000.00]
4,0.0571,1,100031,403.16421,6271582,126,15,FTMS - p ESI Full ms [400.00-2000.00]
5,0.0779,1,128634,403.16392,7678051,120,13,FTMS - p ESI Full ms [400.00-2000.00]
6,0.0974,1,110734,403.16407,6870002,126,15,FTMS - p ESI Full ms [400.00-2000.00]
7,0.1175,1,120712,403.16407,7105729,124,12,FTMS - p ESI Full ms [400.00-2000.00]
8,0.1375,1,122420,403.16401,7231839,113,11,FTMS - p ESI Full ms [400.00-2000.00]
9,0.1571,1,123062,403.16403,7272793,116,13,FTMS - p ESI Full ms [400.00-2000.00]
10,0.1769,1,115342,403.16416,6734255,110,11,FTMS - p ESI Full ms [400.00-2000.00]
11,0.1967,1,113515,403.16413,7008338,114,13,FTMS - p ESI Full ms [400.00-2000.00]
12,0.2167,1,119426,403.16406,7527902,130,16,FTMS - p ESI Full ms [400.00-2000.00]
13,0.2363,1,113412,403.16418,6951692,120,14,FTMS - p ESI Full ms [400.00-2000.00]
14,0.2566,1,114076,403.16408,6809406,117,13,FTMS - p ESI Full ms [400.00-2000.00]
15,0.2767,1,120914,403.16414,7362339,127,13,FTMS - p ESI Full ms [400.00-2000.00]
16,0.2964,1,119289,403.16395,7393507,123,15,FTMS - p ESI Full ms [400.00-2000.00]
17,0.316,1,117406,403.16412,6923518,115,12,FTMS - p ESI Full ms [400.00-2000.00]
18,0.336,1,120046,403.16406,7332357,118,12,FTMS - p ESI Full ms [400.00-2000.00]
19,0.3557,1,111270,403.164,7130751,119,15,FTMS - p ESI Full ms [400.00-2000.00]
20,0.3755,1,113546,403.16412,6923884,114,12,FTMS - p ESI Full ms [400.00-2000.00]
21,0.3955,1,115261,403.16409,7057130,112,16,FTMS - p ESI Full ms [400.00-2000.00]
22,0.4155,1,103141,403.16411,6775324,107,13,FTMS - p ESI Full ms [400.00-2000.00]
23,0.4357,1,107138,403.16406,6685589,122,12,FTMS - p ESI Full ms [400.00-2000.00]
24,0.456,1,124693,403.16413,7269743,116,15,FTMS - p ESI Full ms [400.00-2000.00]
25,0.4758,1,107878,403.16417,6830507,123,15,FTMS - p ESI Full ms [400.00-2000.00]
26,0.4961,1,111604,403.16419,7112082,129,18,FTMS - p ESI Full ms [400.00-2000.00]
27,0.5161,1,114304,403.16409,7203220,118,15,FTMS - p ESI Full ms [400.00-2000.00]
28,0.5362,1,115681,403.1641,7050131,107,12,FTMS - p ESI Full ms [400.00-2000.00]
29,0.5558,1,110678,403.16428,7014275,108,11,FTMS - p ESI Full ms [400.00-2000.00]
30,0.5757,1,109476,403.16409,6802297,120,12,FTMS - p ESI Full ms [400.00-2000.00]
31,0.5959,1,114872,403.16411,6828235,120,16,FTMS - p ESI Full ms [400.00-2000.00]
