scan_num,scan_time,type,bpi,bpi_mz,tic,num_peaks,num_deisotoped,info
1,0.0073,1,97077,403.16469,5853937,128,14,FTMS - p ESI Full ms [400.00-2000.00]
2,0.0174,1,126502,403.16433,7573786,138,17,FTMS - p ESI Full ms [400.00-2000.00]
3,0.0376,1,133193,403.16448,7847293,133,17,FTMS - p ESI Full ms [400.00-2000.00]
4,0.0576,1,133629,403.16422,7947903,126,16,FTMS - p ESI Full ms [400.00-2000.00]
5,0.0774,1,122476,403.16438,7650081,130,16,FTMS - p ESI Full ms [400.00-2000.00]
6,0.0977,1,125767,403.16458,7701870,135,15,FTMS - p ESI Full ms [400.00-2000.00]
7,0.1179,1,137064,403.1644,8108997,133,15,FTMS - p ESI Full ms [400.00-2000.00]
8,0.1376,1,126531,403.16444,7832533,139,15,FTMS - p ESI Full ms [400.00-2000.00]
9,0.1576,1,131191,403.16435,7647393,130,16,FTMS - p ESI Full ms [400.00-2000.00]
10,0.1777,1,116005,403.16452,7248243,117,13,FTMS - p ESI Full ms [400.00-2000.00]
11,0.198,1,130585,403.16448,7879182,128,14,FTMS - p ESI Full ms [400.00-2000.00]
12,0.2179,1,119153,403.16455,7348351,138,14,FTMS - p ESI Full ms [400.00-2000.00]
13,0.2385,1,137636,403.16433,8127248,135,17,FTMS - p ESI Full ms [400.00-2000.00]
14,0.2582,1,131515,403.16456,7644874,130,15,FTMS - p ESI Full ms [400.00-2000.00]
15,0.2782,1,127996,403.16446,7856109,141,17,FTMS - p ESI Full ms [400.00-2000.00]
16,0.2984,1,127266,403.16451,7851608,134,18,FTMS - p ESI Full ms [400.00-2000.00]
17,0.3184,1,128890,403.16432,7831215,130,13,FTMS - p ESI Full ms [400.00-2000.00]
18,0.3384,1,128640,403.16428,7790271,128,13,FTMS - p ESI Full ms [400.00-2000.00]
19,0.3583,1,121054,403.1643,7689833,135,18,FTMS - p ESI Full ms [400.00-2000.00]
20,0.3783,1,136344,403.16457,8100021,123,13,FTMS - p ESI Full ms [400.00-2000.00]
21,0.398,1,136850,403.1645,7973560,128,15,FTMS - p ESI Full ms [400.00-2000.00]
22,0.4178,1,134423,403.16438,7811498,122,14,FTMS - p ESI Full ms [400.00-2000.00]
23,0.4376,1,134952,403.16439,7904488,126,15,FTMS - p ESI Full ms [400.00-2000.00]
24,0.4576,1,136011,403.16446,8036599,130,15,FTMS - p ESI Full ms [400.00-2000.00]
25,0.4775,1,129278,403.16447,7994920,138,19,FTMS - p ESI Full ms [400.00-2000.00]
26,0.4975,1,138567,403.1644,8010788,132,14,FTMS - p ESI Full ms [400.00-2000.00]
27,0.5173,1,115452,403.16437,7626413,133,17,FTMS - p ESI Full ms [400.00-2000.00]
